QTY,Ref Des,Manufacturer,MFG Part#,Dist Part#,Description,Package,Type
2,"U1,U2",Texas Instruments,PMS430E337AHFD,PMS430E337AHFD-ND,IC MCU MIXED-SGNL EPROM 100-CQFP,CQFP,fine pitch
1,U3,Maxim,SJK194U53N292,LP339M,low power voltage comparator LP339,QFP,fine pitch
2,"U4,U5",Microchip,24LC256-I/SM,24LC256-I/SM-ND,Memoria 254K 2.5V 8-SOIC,SOIC,smt
2,"D1,D2","Diodes, Inc.",ES3A-13,S3ADICT-ND,RECTIFIER SILICON 50@3A SMC,TSSOP,smt
1,D3,Schottky,B260A,B260A,SCHOTTKY RECTIFIER 60V@2A SMC,SOT-23,smt
1,D5,Vishay General Semiconductor,SGL41-20-E3/96,SGL41-20-E3/96GICT-ND ,DIODE SCHOTTKY 1A 20V DO-213AB,MELF,smt
1,D4,Panasonic,ERJ-8YGV404234C,FR1G,Surface Mount Fast Recovery 1A@400V,SOT,smt
1,L1,Sumida,CDH53-680JC,308-1211-1-ND,INDUCTOR 68 uH  1.5Arms 0.18DCR,TSSOP,DNS
1,L2,TDK Corporation,NLC453232T-150K,445-1165-1-ND,INDUCTOR SHIELD 15uH,TSSOP,smt
3,"Q1,Q2,Q4",Zetex Inc.,FMMT495TA,FMMT495CT-ND,TRANSISTOR HP NPN 150V@1A SOT-23,SOT-23,smt
1,Q3,Zetex Inc.,FCX593TA,FCX593CT-ND,TRANSISTOR PNP -100V@-1A SOT-89,SOT-89,smt
4,"C1,C2,C5,C6",Yageo,CC1206JRNPO9BN220,311-1154-1-ND,CAP.CERAMIC 22pF@50V NP0 1206,1206,smt
2,"C7,C10",AVX Corporation,12065A330JAT2A,478-1474-1-ND,CAP. 33pF@50V 1206,1206,smt
3,"C8,C14,C15",Panasonic,EEV-HA1H2R2R,PCE3019CT-ND,CAP. ELECTR. 2.2uF@50V,3212,DNS
2,"R1,R13",Panasonic,ERJ-8GEYJ106V,P10MECT-ND,RES. 10M 1/4W 5% 1206 SMD,1206,smt
5,"R2,R3,R5,R6,R7",Panasonic,ERJ-8GEYJ103V,P10KECT-ND,RES. 10K 1/4W 5% 1206 SMD,1206,smt
1,CON1,AMP/Tyco,745783-4,A2102-ND,D-SUB CONN 25 PINS FEMALE ,header,thru-hole
1,CON2,AMP/Tyco,590042-7,CLP-104-02-L-D,1.27mm PITCH X 2.286mm HEIGHT 8 PINS,header,thru-hole
3,"C8,C14,C15",Panasonic,EEV-HA1H2R2R,PCE3019CT-ND,CAP. ELECTR. 2.2uF@50V,3212,DNS
3,"C8,C14,C15",Panasonic,EEV-HA1H2R2R,PCE3019CT-ND,CAP. ELECTR. 2.2uF@50V,3212,DNS
4,"C1,C2,C5,C6",Yageo,CC1206JRNPO9BN220,311-1154-1-ND,CAP.CERAMIC 22pF@50V NP0 1206,1206,smt
4,"C1,C2,C5,C6",Yageo,CC1206JRNPO9BN220,311-1154-1-ND,CAP.CERAMIC 22pF@50V NP0 1206,1206,smt
4,"C1,C2,C5,C6",Yageo,CC1206JRNPO9BN220,311-1154-1-ND,CAP.CERAMIC 22pF@50V NP0 1206,1206,smt
2,"D1,D2","Diodes, Inc.",ES3A-13,S3ADICT-ND,RECTIFIER SILICON 50@3A SMC,TSSOP,smt
2,"U1,U2",Texas Instruments,PMS430E337AHFD,PMS430E337AHFD-ND,IC MCU MIXED-SGNL EPROM 100-CQFP,CQFP,fine pitch
2,"U1,U2",Texas Instruments,PMS430E337AHFD,PMS430E337AHFD-ND,IC MCU MIXED-SGNL EPROM 100-CQFP,CQFP,fine pitch
3,"C8,C14,C15",Panasonic,EEV-HA1H2R2R,PCE3019CT-ND,CAP. ELECTR. 2.2uF@50V,3212,DNS
